Transaction_ID,Customer_ID,Account_ID,Transaction_Date,Transaction_Amount,Transaction_Type,Merchant_ID,Location_ID,Device_ID,Payment_Method,Status,Fraud_Flag
TXN00046,CUST0436,ACC0436,2023-02-16,533.13,Debit,MERCH057,LOC040,DEV069,UPI,Success,0
TXN00047,CUST0450,ACC0450,2023-04-06,18662.48,Debit,MERCH059,LOC018,DEV099,Card,Success,0
TXN00048,CUST0354,ACC0354,2024-05-04,40004.96,Debit,MERCH008,LOC011,DEV027,UPI,Success,0
TXN00049,CUST0214,ACC0214,2024-08-27,24159.61,Credit,MERCH100,LOC023,DEV157,NetBanking,Success,0
TXN00050,CUST0015,ACC0015,2024-12-01,44003.51,Credit,MERCH015,LOC027,DEV113,UPI,Failed,0
TXN00051,CUST0024,ACC0024,2023-03-06,13117.56,Debit,MERCH086,LOC022,DEV133,Card,Success,0
TXN00052,CUST0268,ACC0268,2024-12-05,35043.98,Credit,MERCH085,LOC044,DEV165,UPI,Success,0
TXN00053,CUST0198,ACC0198,2023-06-02,41959.7,Debit,MERCH021,LOC033,DEV121,NetBanking,Success,0
TXN00054,CUST0437,ACC0437,2024-05-22,43477.31,Credit,MERCH036,LOC004,DEV130,UPI,Success,0
TXN00055,CUST0115,ACC0115,2024-07-17,32183.7,Debit,MERCH074,LOC029,DEV023,Card,Success,0
TXN00056,CUST0439,ACC0439,2024-05-25,22381.05,Credit,MERCH053,LOC003,DEV143,UPI,Success,0
TXN00057,CUST0282,ACC0282,2023-01-01,41304.14,Debit,MERCH059,LOC022,DEV094,NetBanking,Success,0
TXN00058,CUST0423,ACC0423,2023-02-25,40838.6,Debit,MERCH092,LOC043,DEV094,Card,Failed,0
TXN00059,CUST0367,ACC0367,2024-04-08,5745.47,Debit,MERCH082,LOC019,DEV141,UPI,Success,0
TXN00060,CUST0268,ACC0268,2024-01-18,35119.7,Debit,MERCH018,LOC046,DEV191,UPI,Failed,0
TXN00061,CUST0370,ACC0370,2024-02-24,5392.73,Debit,MERCH051,LOC014,DEV118,NetBanking,Success,0
TXN00062,CUST0423,ACC0423,2023-07-15,35853.56,Credit,MERCH087,LOC038,DEV032,UPI,Success,0
TXN00063,CUST0396,ACC0396,2024-04-06,22896.52,Debit,MERCH001,LOC034,DEV189,NetBanking,Failed,0
TXN00064,CUST0025,ACC0025,2024-07-20,46768.65,Credit,MERCH023,LOC047,DEV033,NetBanking,Success,0
TXN00065,CUST0054,ACC0054,2024-02-01,32893.21,Debit,MERCH054,LOC039,DEV178,NetBanking,Failed,0
TXN00066,CUST0391,ACC0391,2023-09-12,13716.11,Debit,MERCH018,LOC009,DEV106,Card,Failed,0
TXN00067,CUST0309,ACC0309,2024-12-17,44327.52,Debit,MERCH071,LOC041,DEV056,NetBanking,Success,0
TXN00068,CUST0103,ACC0103,2023-08-03,31227.17,Debit,MERCH084,LOC012,DEV129,Card,Success,0
TXN00069,CUST0278,ACC0278,2024-12-11,31862.03,Debit,MERCH075,LOC037,DEV171,UPI,Failed,0
TXN00070,CUST0364,ACC0364,2024-03-03,33728.46,Debit,MERCH002,LOC034,DEV028,NetBanking,Failed,0
TXN00071,CUST0013,ACC0013,2024-01-26,7309.07,Debit,MERCH021,LOC019,DEV175,UPI,Success,0
TXN00072,CUST0129,ACC0129,2023-05-30,41977.12,Debit,MERCH058,LOC007,DEV158,Card,Success,0
TXN00073,CUST0445,ACC0445,2024-11-22,36987.65,Credit,MERCH090,LOC019,DEV178,UPI,Success,0
TXN00074,CUST0341,ACC0341,2023-02-18,46327.92,Credit,MERCH007,LOC001,DEV191,Card,Success,0
TXN00075,CUST0129,ACC0129,2023-07-27,31047.06,Debit,MERCH070,LOC048,DEV155,Card,Success,0
TXN00076,CUST0101,ACC0101,2023-07-18,14744.18,Debit,MERCH095,LOC033,DEV031,UPI,Success,0
TXN00077,CUST0194,ACC0194,2023-02-11,21453.97,Debit,MERCH033,LOC001,DEV085,NetBanking,Success,0
TXN00078,CUST0239,ACC0239,2024-12-27,46877.85,Debit,MERCH100,LOC041,DEV158,UPI,Success,0
TXN00079,CUST0432,ACC0432,2024-11-08,15092.68,Debit,MERCH041,LOC034,DEV057,NetBanking,Success,0
TXN00080,CUST0490,ACC0490,2023-07-08,26054.28,Debit,MERCH070,LOC035,DEV104,NetBanking,Failed,0
TXN00081,CUST0048,ACC0048,2023-12-24,11098.84,Debit,MERCH028,LOC049,DEV159,UPI,Success,0
TXN00082,CUST0272,ACC0272,2024-05-01,49831.72,Debit,MERCH083,LOC040,DEV160,UPI,Success,0
TXN00083,CUST0125,ACC0125,2023-02-10,34143.44,Credit,MERCH070,LOC047,DEV073,Card,Success,0
TXN00084,CUST0013,ACC0013,2024-06-13,41114.35,Credit,MERCH006,LOC019,DEV167,Card,Failed,0
TXN00085,CUST0099,ACC0099,2023-11-25,25719.04,Debit,MERCH027,LOC043,DEV162,UPI,Success,0
TXN00086,CUST0397,ACC0397,2023-08-07,43254.3,Debit,MERCH090,LOC048,DEV199,Card,Success,0
TXN00087,CUST0223,ACC0223,2024-10-24,40846.88,Debit,MERCH043,LOC003,DEV023,UPI,Success,0
TXN00088,CUST0038,ACC0038,2023-02-25,8940.71,Debit,MERCH053,LOC025,DEV116,Card,Success,0
TXN00089,CUST0323,ACC0323,2024-02-19,21679.6,Credit,MERCH083,LOC047,DEV159,UPI,Success,0
TXN00090,CUST0033,ACC0033,2024-08-22,2323.57,Debit,MERCH088,LOC020,DEV156,UPI,Success,0
TXN00091,CUST0045,ACC0045,2023-10-16,38275.45,Credit,MERCH085,LOC002,DEV122,Card,Failed,0
TXN00092,CUST0081,ACC0081,2024-06-30,11032.29,Debit,MERCH094,LOC042,DEV096,Card,Success,0
TXN00093,CUST0491,ACC0491,2023-01-12,27698.53,Debit,MERCH074,LOC039,DEV101,NetBanking,Success,0
TXN00094,CUST0276,ACC0276,2024-07-14,47351.62,Debit,MERCH083,LOC033,DEV037,Card,Success,0
TXN00095,CUST0083,ACC0083,2023-07-08,11078.36,Debit,MERCH073,LOC004,DEV193,Card,Success,0
TXN00096,CUST0478,ACC0478,2024-07-16,23090.2,Debit,MERCH033,LOC007,DEV051,NetBanking,Success,0
TXN00097,CUST0372,ACC0372,2024-08-17,24385.16,Debit,MERCH031,LOC007,DEV073,Card,Success,0
TXN00098,CUST0318,ACC0318,2023-03-13,45010.92,Credit,MERCH043,LOC040,DEV169,Card,Failed,0
TXN00099,CUST0157,ACC0157,2024-12-11,29229.29,Debit,MERCH022,LOC001,DEV081,NetBanking,Success,0
TXN00100,CUST0127,ACC0127,2023-08-15,35624.35,Debit,MERCH094,LOC022,DEV123,Card,Success,0
TXN00101,CUST0237,ACC0237,2024-04-01,17969.14,Credit,MERCH078,LOC006,DEV072,Card,Success,0
TXN00102,CUST0440,ACC0440,2023-05-24,44570.29,Debit,MERCH003,LOC033,DEV162,UPI,Success,0
TXN00103,CUST0016,ACC0016,2024-08-18,28966.09,Debit,MERCH070,LOC035,DEV121,NetBanking,Success,0
TXN00104,CUST0335,ACC0335,2023-06-02,18322.64,Debit,MERCH066,LOC006,DEV102,UPI,Success,0
TXN00105,CUST0187,ACC0187,2024-05-29,579.05,Debit,MERCH023,LOC037,DEV145,UPI,Success,0
TXN00106,CUST0338,ACC0338,2023-05-30,36809.19,Debit,MERCH063,LOC015,DEV017,Card,Success,0
TXN00107,CUST0136,ACC0136,2024-01-14,11739.23,Debit,MERCH061,LOC030,DEV012,UPI,Failed,0
TXN00108,CUST0021,ACC0021,2024-10-26,16237.35,Debit,MERCH073,LOC012,DEV097,NetBanking,Success,0
TXN00109,CUST0335,ACC0335,2024-01-23,18296.57,Debit,MERCH029,LOC034,DEV104,UPI,Failed,0
TXN00110,CUST0181,ACC0181,2023-12-20,24368.74,Debit,MERCH030,LOC005,DEV132,Card,Success,0
TXN00111,CUST0330,ACC0330,2023-10-15,10615.28,Debit,MERCH016,LOC043,DEV059,UPI,Success,0
TXN00112,CUST0213,ACC0213,2023-12-05,36026.77,Credit,MERCH027,LOC038,DEV042,Card,Failed,0
TXN00113,CUST0332,ACC0332,2024-02-25,1171.18,Debit,MERCH066,LOC003,DEV147,UPI,Success,0
TXN00114,CUST0076,ACC0076,2023-02-27,8358.75,Credit,MERCH094,LOC043,DEV073,UPI,Success,0
TXN00115,CUST0485,ACC0485,2023-03-29,10868.84,Credit,MERCH022,LOC015,DEV106,NetBanking,Failed,0
TXN00116,CUST0308,ACC0308,2023-05-27,39741.07,Debit,MERCH044,LOC030,DEV153,UPI,Success,0
TXN00117,CUST0303,ACC0303,2023-03-12,11529.2,Debit,MERCH067,LOC033,DEV176,Card,Success,1
TXN00118,CUST0215,ACC0215,2023-06-03,30295.28,Credit,MERCH069,LOC033,DEV193,UPI,Success,0
TXN00119,CUST0061,ACC0061,2023-04-06,24137.93,Debit,MERCH067,LOC027,DEV095,UPI,Failed,0
TXN00120,CUST0448,ACC0448,2023-02-14,34897.26,Debit,MERCH099,LOC025,DEV090,Card,Failed,0
TXN00121,CUST0302,ACC0302,2024-12-14,28827.23,Debit,MERCH030,LOC006,DEV073,Card,Success,0
TXN00122,CUST0307,ACC0307,2024-07-10,20461.9,Debit,MERCH016,LOC034,DEV002,UPI,Success,0
TXN00123,CUST0193,ACC0193,2024-11-01,10310.66,Credit,MERCH055,LOC042,DEV150,Card,Success,0
TXN00124,CUST0130,ACC0130,2023-09-25,42756.1,Debit,MERCH051,LOC049,DEV053,Card,Success,0
TXN00125,CUST0212,ACC0212,2024-07-19,39200.23,Debit,MERCH062,LOC017,DEV079,Card,Success,0
TXN00126,CUST0296,ACC0296,2023-12-19,38721.01,Debit,MERCH058,LOC045,DEV042,Card,Success,0
TXN00127,CUST0052,ACC0052,2023-08-08,25441.76,Debit,MERCH082,LOC001,DEV024,Card,Success,0
TXN00128,CUST0422,ACC0422,2023-05-29,23609.85,Credit,MERCH029,LOC024,DEV021,NetBanking,Success,0
TXN00129,CUST0312,ACC0312,2023-02-08,36238.51,Debit,MERCH023,LOC041,DEV127,Card,Success,0
TXN00130,CUST0225,ACC0225,2023-01-11,10125.28,Debit,MERCH077,LOC033,DEV133,NetBanking,Success,1
TXN00131,CUST0358,ACC0358,2023-08-26,30778.74,Debit,MERCH021,LOC006,DEV071,UPI,Success,0
TXN00132,CUST0400,ACC0400,2024-02-14,17688.73,Credit,MERCH095,LOC046,DEV018,Card,Success,0
TXN00133,CUST0471,ACC0471,2023-04-03,27502.15,Debit,MERCH036,LOC015,DEV156,NetBanking,Success,0
TXN00134,CUST0494,ACC0494,2023-07-19,22765.21,Debit,MERCH065,LOC007,DEV144,Card,Success,0
TXN00135,CUST0038,ACC0038,2024-05-30,14747.88,Debit,MERCH049,LOC037,DEV124,UPI,Success,0
TXN00136,CUST0395,ACC0395,2023-09-07,37885.79,Credit,MERCH034,LOC005,DEV098,Card,Success,0
TXN00137,CUST0325,ACC0325,2023-08-14,33861.8,Debit,MERCH046,LOC034,DEV138,UPI,Failed,0
TXN00138,CUST0005,ACC0005,2024-12-18,41617.24,Debit,MERCH096,LOC022,DEV020,UPI,Success,0
TXN00139,CUST0284,ACC0284,2023-07-02,23853.94,Debit,MERCH096,LOC044,DEV049,Card,Success,0
TXN00140,CUST0256,ACC0256,2023-07-24,11781.33,Debit,MERCH032,LOC040,DEV092,UPI,Success,0
TXN00141,CUST0080,ACC0080,2023-04-20,6037.93,Credit,MERCH070,LOC003,DEV124,UPI,Success,0
TXN00142,CUST0191,ACC0191,2024-09-27,15805.07,Debit,MERCH024,LOC049,DEV131,NetBanking,Failed,0
TXN00143,CUST0144,ACC0144,2024-02-12,11143.53,Debit,MERCH055,LOC031,DEV139,NetBanking,Success,0
TXN00144,CUST0017,ACC0017,2024-05-29,17397.08,Credit,MERCH059,LOC021,DEV177,UPI,Success,0
TXN00145,CUST0005,ACC0005,2023-01-13,33721.45,Debit,MERCH034,LOC012,DEV141,Card,Success,0
TXN00146,CUST0135,ACC0135,2023-08-31,13506.94,Debit,MERCH055,LOC014,DEV108,NetBanking,Success,0
TXN00147,CUST0359,ACC0359,2024-01-17,18285.65,Debit,MERCH024,LOC037,DEV034,Card,Failed,0
TXN00148,CUST0295,ACC0295,2024-12-03,11466.91,Debit,MERCH049,LOC013,DEV038,UPI,Success,0
TXN00149,CUST0410,ACC0410,2023-06-03,23675.7,Debit,MERCH064,LOC009,DEV162,UPI,Failed,0
TXN00150,CUST0265,ACC0265,2024-06-30,36041.99,Debit,MERCH073,LOC004,DEV102,Card,Success,0
TXN00151,CUST0051,ACC0051,2024-12-08,8208.93,Debit,MERCH081,LOC007,DEV116,UPI,Failed,0
TXN00152,CUST0382,ACC0382,2023-12-09,13025.47,Debit,MERCH016,LOC023,DEV174,Card,Success,1
TXN00153,CUST0494,ACC0494,2024-09-12,9987.96,Debit,MERCH087,LOC033,DEV125,NetBanking,Success,0
TXN00154,CUST0397,ACC0397,2024-04-02,44487.14,Debit,MERCH081,LOC010,DEV043,Card,Failed,0
TXN00155,CUST0328,ACC0328,2023-12-12,21119.73,Credit,MERCH044,LOC015,DEV081,NetBanking,Success,0
TXN00156,CUST0163,ACC0163,2024-10-30,14603.25,Credit,MERCH100,LOC024,DEV192,Card,Success,0
TXN00157,CUST0301,ACC0301,2024-06-17,48278.03,Debit,MERCH017,LOC047,DEV061,Card,Success,0
TXN00158,CUST0339,ACC0339,2023-09-15,47024.85,Debit,MERCH013,LOC005,DEV122,UPI,Success,0
TXN00159,CUST0281,ACC0281,2023-02-25,1366.93,Debit,MERCH020,LOC006,DEV168,Card,Success,0
TXN00160,CUST0477,ACC0477,2024-02-04,15503.06,Debit,MERCH081,LOC009,DEV034,UPI,Failed,0
TXN00161,CUST0270,ACC0270,2023-06-24,1477.14,Debit,MERCH060,LOC035,DEV070,Card,Failed,0
TXN00162,CUST0281,ACC0281,2024-03-31,6798.99,Debit,MERCH081,LOC048,DEV163,NetBanking,Failed,0
TXN00163,CUST0450,ACC0450,2024-07-31,21777.12,Debit,MERCH030,LOC006,DEV114,NetBanking,Success,0
TXN00164,CUST0158,ACC0158,2024-01-10,20639.58,Debit,MERCH098,LOC009,DEV089,UPI,Success,1
TXN00165,CUST0147,ACC0147,2024-04-25,26778.19,Credit,MERCH056,LOC019,DEV153,Card,Success,1
TXN00166,CUST0119,ACC0119,2023-01-08,27433.2,Credit,MERCH051,LOC016,DEV042,UPI,Failed,0
TXN00167,CUST0367,ACC0367,2024-10-23,19516.68,Debit,MERCH081,LOC016,DEV133,Card,Success,0
TXN00168,CUST0392,ACC0392,2024-09-19,40388.37,Debit,MERCH009,LOC012,DEV035,Card,Success,0
TXN00169,CUST0149,ACC0149,2023-04-24,31862.79,Credit,MERCH063,LOC013,DEV083,NetBanking,Success,0
TXN00170,CUST0010,ACC0010,2023-06-05,2529.12,Debit,MERCH037,LOC018,DEV033,NetBanking,Success,0
TXN00171,CUST0367,ACC0367,2024-03-24,36369.0,Debit,MERCH028,LOC022,DEV108,UPI,Success,1
TXN00172,CUST0160,ACC0160,2024-05-25,49898.27,Debit,MERCH097,LOC010,DEV015,Card,Success,0
TXN00173,CUST0137,ACC0137,2024-02-06,3615.67,Debit,MERCH033,LOC025,DEV004,Card,Success,0
TXN00174,CUST0063,ACC0063,2023-09-12,19270.66,Debit,MERCH095,LOC050,DEV025,Card,Success,0
TXN00175,CUST0267,ACC0267,2024-11-12,49106.69,Credit,MERCH021,LOC041,DEV187,Card,Success,0
TXN00176,CUST0022,ACC0022,2024-07-16,26070.27,Credit,MERCH007,LOC043,DEV056,Card,Success,0
TXN00177,CUST0499,ACC0499,2023-04-26,11836.49,Debit,MERCH036,LOC038,DEV031,Card,Success,0
TXN00178,CUST0203,ACC0203,2023-09-06,496.05,Credit,MERCH012,LOC016,DEV041,UPI,Success,0
TXN00179,CUST0256,ACC0256,2023-04-04,34312.93,Debit,MERCH020,LOC045,DEV138,Card,Success,0
TXN00180,CUST0406,ACC0406,2023-04-20,6335.08,Debit,MERCH057,LOC047,DEV050,UPI,Success,0
TXN00181,CUST0011,ACC0011,2024-12-06,18919.56,Debit,MERCH057,LOC036,DEV076,UPI,Success,0
TXN00182,CUST0278,ACC0278,2024-12-14,24530.1,Debit,MERCH060,LOC018,DEV154,NetBanking,Success,0
TXN00183,CUST0469,ACC0469,2024-07-21,8059.15,Debit,MERCH038,LOC017,DEV139,NetBanking,Failed,0
TXN00184,CUST0188,ACC0188,2024-04-09,85.96,Credit,MERCH080,LOC024,DEV199,NetBanking,Success,0
TXN00185,CUST0318,ACC0318,2023-09-02,16068.67,Credit,MERCH064,LOC050,DEV142,UPI,Success,0
TXN00186,CUST0079,ACC0079,2024-09-19,14192.3,Debit,MERCH085,LOC005,DEV012,Card,Success,0
TXN00187,CUST0428,ACC0428,2023-05-13,8973.01,Debit,MERCH013,LOC003,DEV147,UPI,Success,0
TXN00188,CUST0329,ACC0329,2024-02-02,32913.17,Debit,MERCH078,LOC046,DEV019,NetBanking,Success,0
TXN00189,CUST0007,ACC0007,2023-08-02,32804.68,Credit,MERCH096,LOC027,DEV095,UPI,Success,0
TXN00190,CUST0407,ACC0407,2024-12-26,2962.09,Debit,MERCH039,LOC005,DEV056,NetBanking,Success,0
TXN00191,CUST0492,ACC0492,2024-06-15,4901.11,Credit,MERCH085,LOC016,DEV146,UPI,Success,0
TXN00192,CUST0321,ACC0321,2023-07-03,27943.25,Credit,MERCH074,LOC023,DEV173,NetBanking,Success,0
TXN00193,CUST0235,ACC0235,2024-12-20,33278.86,Debit,MERCH065,LOC022,DEV169,UPI,Success,0
TXN00194,CUST0081,ACC0081,2024-06-30,49921.76,Debit,MERCH042,LOC024,DEV106,Card,Success,0
TXN00195,CUST0392,ACC0392,2024-10-10,21557.87,Debit,MERCH071,LOC048,DEV066,Card,Success,0
TXN00196,CUST0185,ACC0185,2024-04-08,22402.61,Debit,MERCH077,LOC002,DEV133,Card,Success,0
TXN00197,CUST0070,ACC0070,2023-11-06,378.11,Debit,MERCH089,LOC018,DEV142,UPI,Success,1
TXN00198,CUST0262,ACC0262,2024-07-23,28554.88,Debit,MERCH046,LOC010,DEV036,NetBanking,Success,1
TXN00199,CUST0136,ACC0136,2024-01-11,44486.79,Debit,MERCH012,LOC037,DEV103,UPI,Success,0
TXN00200,CUST0292,ACC0292,2023-08-11,36726.58,Credit,MERCH089,LOC045,DEV148,Card,Success,0
TXN00201,CUST0420,ACC0420,2023-04-08,29781.8,Debit,MERCH011,LOC050,DEV015,Card,Failed,0
TXN00202,CUST0472,ACC0472,2023-12-09,17429.11,Credit,MERCH030,LOC048,DEV168,Card,Success,0
TXN00203,CUST0435,ACC0435,2024-09-08,46436.23,Debit,MERCH041,LOC035,DEV145,Card,Success,0
TXN00204,CUST0077,ACC0077,2023-12-01,25144.96,Debit,MERCH051,LOC029,DEV193,UPI,Success,0
TXN00205,CUST0305,ACC0305,2024-08-12,25261.23,Credit,MERCH019,LOC009,DEV087,UPI,Success,0
TXN00206,CUST0043,ACC0043,2024-05-02,28593.46,Credit,MERCH065,LOC028,DEV199,UPI,Success,0
TXN00207,CUST0358,ACC0358,2023-05-14,38113.54,Debit,MERCH051,LOC042,DEV147,Card,Failed,0
TXN00208,CUST0101,ACC0101,2024-07-28,30819.04,Debit,MERCH100,LOC028,DEV083,NetBanking,Success,0
TXN00209,CUST0351,ACC0351,2024-08-12,4525.25,Credit,MERCH042,LOC023,DEV153,Card,Success,0
TXN00210,CUST0336,ACC0336,2023-01-25,38495.58,Debit,MERCH080,LOC010,DEV113,UPI,Failed,0
TXN00211,CUST0023,ACC0023,2023-08-28,10024.28,Debit,MERCH007,LOC016,DEV159,Card,Success,0
TXN00212,CUST0475,ACC0475,2023-06-01,43444.18,Debit,MERCH015,LOC020,DEV116,Card,Success,0
TXN00213,CUST0242,ACC0242,2023-01-24,16627.24,Debit,MERCH097,LOC017,DEV141,NetBanking,Success,0
TXN00214,CUST0248,ACC0248,2024-09-29,36509.68,Debit,MERCH075,LOC043,DEV135,UPI,Failed,0
TXN00215,CUST0023,ACC0023,2023-09-19,8557.47,Debit,MERCH084,LOC001,DEV018,Card,Success,0
TXN00216,CUST0199,ACC0199,2024-11-07,13601.95,Debit,MERCH084,LOC025,DEV060,Card,Success,0
TXN00217,CUST0195,ACC0195,2024-06-04,48831.77,Debit,MERCH077,LOC035,DEV023,UPI,Failed,0
TXN00218,CUST0096,ACC0096,2023-07-23,25057.51,Debit,MERCH068,LOC020,DEV086,Card,Success,0
TXN00219,CUST0251,ACC0251,2024-02-07,37232.32,Debit,MERCH039,LOC016,DEV129,UPI,Success,0
TXN00220,CUST0142,ACC0142,2023-03-05,31308.33,Debit,MERCH044,LOC026,DEV169,Card,Success,0
TXN00221,CUST0071,ACC0071,2023-03-31,36507.99,Debit,MERCH031,LOC037,DEV040,NetBanking,Failed,0
TXN00222,CUST0219,ACC0219,2023-11-16,45491.28,Credit,MERCH018,LOC038,DEV139,Card,Success,0
TXN00223,CUST0351,ACC0351,2023-07-27,43136.25,Debit,MERCH099,LOC010,DEV168,Card,Failed,0
TXN00224,CUST0478,ACC0478,2024-08-01,45859.75,Debit,MERCH019,LOC047,DEV008,Card,Success,0
TXN00225,CUST0392,ACC0392,2023-11-23,44012.59,Credit,MERCH082,LOC048,DEV071,Card,Success,0
TXN00226,CUST0078,ACC0078,2023-07-12,5383.23,Debit,MERCH079,LOC015,DEV153,UPI,Success,0
TXN00227,CUST0119,ACC0119,2023-08-25,34384.53,Debit,MERCH018,LOC033,DEV155,Card,Failed,0
TXN00228,CUST0241,ACC0241,2024-12-30,32495.95,Credit,MERCH061,LOC009,DEV042,UPI,Failed,0
TXN00229,CUST0099,ACC0099,2023-08-20,1659.87,Debit,MERCH029,LOC048,DEV172,UPI,Failed,0
TXN00230,CUST0104,ACC0104,2023-07-29,3353.51,Credit,MERCH032,LOC028,DEV104,Card,Success,0
TXN00231,CUST0398,ACC0398,2023-02-12,30416.1,Debit,MERCH079,LOC048,DEV147,Card,Failed,0
TXN00232,CUST0305,ACC0305,2024-07-03,26285.27,Debit,MERCH059,LOC003,DEV063,UPI,Failed,0
TXN00233,CUST0266,ACC0266,2024-07-04,19810.78,Credit,MERCH057,LOC026,DEV078,UPI,Success,0
