Account_ID,Customer_ID,Account_Type,Account_Balance,Account_Status,Account_Open_Date
ACC0081,CUST0081,Savings,54645.62,Active,2019-06-21
ACC0082,CUST0082,Savings,76145.41,Active,2021-02-22
ACC0083,CUST0083,Current,234321.36,Active,2021-01-22
ACC0084,CUST0084,Savings,186846.37,Active,2018-10-31
ACC0085,CUST0085,Current,174058.76,Active,2020-01-17
ACC0086,CUST0086,Savings,99459.7,Closed,2019-05-27
ACC0087,CUST0087,Savings,80742.94,Inactive,2021-06-25
ACC0088,CUST0088,Current,116829.49,Active,2020-04-24
ACC0089,CUST0089,Savings,77451.36,Closed,2022-07-01
ACC0090,CUST0090,Savings,220761.58,Active,2020-02-23
ACC0091,CUST0091,Current,200802.75,Inactive,2022-07-31
ACC0092,CUST0092,Savings,190526.43,Active,2019-04-02
ACC0093,CUST0093,Savings,92990.88,Active,2019-07-25
ACC0094,CUST0094,Savings,140849.92,Active,2020-11-09
ACC0095,CUST0095,Current,4546.87,Closed,2018-08-25
ACC0096,CUST0096,Savings,144996.16,Active,2018-03-20
ACC0097,CUST0097,Savings,38526.65,Active,2022-02-01
ACC0098,CUST0098,Savings,95270.02,Inactive,2018-08-25
ACC0099,CUST0099,Current,137885.31,Active,2018-04-01
ACC0100,CUST0100,Savings,64703.03,Inactive,2021-11-07
ACC0101,CUST0101,Current,115476.84,Active,2021-09-22
ACC0102,CUST0102,Current,42731.79,Closed,2022-10-03
ACC0103,CUST0103,Current,122334.92,Active,2021-09-27
ACC0104,CUST0104,Savings,131224.13,Active,2021-02-09
ACC0105,CUST0105,Savings,191202.54,Active,2020-02-16
ACC0106,CUST0106,Savings,210714.91,Active,2020-04-11
ACC0107,CUST0107,Savings,176938.81,Active,2019-03-07
ACC0108,CUST0108,Savings,126680.36,Active,2019-10-22
ACC0109,CUST0109,Current,154649.89,Closed,2019-03-14
ACC0110,CUST0110,Current,228231.49,Inactive,2018-06-23
ACC0111,CUST0111,Current,4425.08,Closed,2018-07-11
ACC0112,CUST0112,Savings,103128.96,Closed,2018-10-29
ACC0113,CUST0113,Current,180687.08,Active,2021-06-05
ACC0114,CUST0114,Current,4777.08,Inactive,2021-03-24
ACC0115,CUST0115,Savings,201638.84,Active,2019-05-15
ACC0116,CUST0116,Current,229553.19,Active,2019-03-25
ACC0117,CUST0117,Current,60621.72,Closed,2021-02-15
ACC0118,CUST0118,Savings,63478.34,Active,2022-06-30
ACC0119,CUST0119,Savings,198836.61,Active,2019-10-12
ACC0120,CUST0120,Savings,239844.8,Closed,2022-08-29
ACC0121,CUST0121,Current,61180.37,Active,2020-07-10
ACC0122,CUST0122,Savings,75343.67,Active,2020-09-19
ACC0123,CUST0123,Savings,23828.38,Inactive,2022-01-01
ACC0124,CUST0124,Savings,138399.01,Active,2019-10-17
ACC0125,CUST0125,Savings,175859.86,Inactive,2019-04-19
ACC0126,CUST0126,Current,211409.78,Active,2020-04-29
ACC0127,CUST0127,Savings,141681.23,Closed,2020-05-01
ACC0128,CUST0128,Savings,229828.48,Active,2022-04-26
ACC0129,CUST0129,Current,225367.6,Closed,2020-09-03
ACC0130,CUST0130,Savings,119137.32,Active,2022-10-14
ACC0131,CUST0131,Savings,171264.97,Closed,2019-03-28
ACC0132,CUST0132,Savings,141095.71,Active,2020-09-21
ACC0133,CUST0133,Savings,232227.21,Active,2021-10-22
ACC0134,CUST0134,Current,240386.56,Active,2021-06-28
ACC0135,CUST0135,Current,188187.49,Inactive,2021-03-01
ACC0136,CUST0136,Savings,232254.3,Active,2022-11-11
ACC0137,CUST0137,Current,141207.57,Inactive,2020-02-16
ACC0138,CUST0138,Current,169420.22,Active,2019-11-23
ACC0139,CUST0139,Current,96269.63,Active,2022-09-06
ACC0140,CUST0140,Current,197729.27,Active,2018-04-17
ACC0141,CUST0141,Savings,125447.82,Active,2018-03-24
ACC0142,CUST0142,Savings,24872.6,Active,2021-06-26
ACC0143,CUST0143,Current,85477.89,Closed,2021-10-03
ACC0144,CUST0144,Savings,99477.41,Active,2021-12-03
ACC0145,CUST0145,Savings,158713.68,Inactive,2021-05-28
ACC0146,CUST0146,Current,57420.53,Inactive,2021-03-31
ACC0147,CUST0147,Current,108246.06,Closed,2020-02-08
ACC0148,CUST0148,Savings,165337.64,Closed,2021-11-15
ACC0149,CUST0149,Savings,74197.18,Active,2021-05-14
ACC0150,CUST0150,Savings,20968.48,Inactive,2020-12-27
ACC0151,CUST0151,Current,178063.45,Active,2021-08-19
ACC0152,CUST0152,Savings,185043.99,Active,2018-08-05
ACC0153,CUST0153,Savings,27084.45,Active,2020-06-10
ACC0154,CUST0154,Savings,111461.6,Active,2022-07-14
ACC0155,CUST0155,Savings,33560.5,Inactive,2022-08-19
ACC0156,CUST0156,Current,112486.5,Closed,2022-08-29
ACC0157,CUST0157,Savings,102307.02,Active,2022-03-17
ACC0158,CUST0158,Savings,88801.61,Closed,2020-02-16
ACC0159,CUST0159,Savings,149711.93,Inactive,2019-01-08
ACC0160,CUST0160,Savings,3578.98,Inactive,2019-11-29
ACC0161,CUST0161,Current,194902.69,Closed,2018-01-21
ACC0162,CUST0162,Savings,226349.29,Closed,2022-01-14
ACC0163,CUST0163,Current,130515.58,Inactive,2021-11-15
ACC0164,CUST0164,Savings,42790.69,Active,2018-07-10
ACC0165,CUST0165,Savings,67467.5,Active,2019-09-20
ACC0166,CUST0166,Savings,42218.25,Inactive,2020-12-23
ACC0167,CUST0167,Savings,75288.19,Active,2019-12-22
ACC0168,CUST0168,Savings,63299.08,Inactive,2019-04-18
ACC0169,CUST0169,Savings,148654.7,Inactive,2022-03-02
ACC0170,CUST0170,Savings,27189.61,Active,2022-02-21
ACC0171,CUST0171,Savings,237231.45,Closed,2021-05-07
ACC0172,CUST0172,Savings,95282.54,Inactive,2019-04-11
ACC0173,CUST0173,Current,84016.69,Closed,2021-12-21
ACC0174,CUST0174,Savings,34463.06,Closed,2018-04-22
ACC0175,CUST0175,Savings,236846.09,Inactive,2022-11-14
ACC0176,CUST0176,Savings,78888.73,Active,2019-08-06
ACC0177,CUST0177,Current,73216.31,Inactive,2019-01-13
ACC0178,CUST0178,Savings,241956.89,Active,2022-08-11
ACC0179,CUST0179,Savings,94325.8,Active,2021-03-27
ACC0180,CUST0180,Current,28915.01,Active,2019-09-15
ACC0181,CUST0181,Current,148260.65,Active,2022-04-15
ACC0182,CUST0182,Current,170587.3,Active,2019-04-08
ACC0183,CUST0183,Savings,238274.65,Active,2019-09-01
ACC0184,CUST0184,Savings,109894.51,Active,2021-06-25
ACC0185,CUST0185,Savings,204831.91,Inactive,2021-07-05
ACC0186,CUST0186,Savings,35225.19,Active,2019-05-07
ACC0187,CUST0187,Savings,63544.08,Inactive,2018-01-06
ACC0188,CUST0188,Savings,197374.65,Inactive,2019-08-20
ACC0189,CUST0189,Savings,247679.8,Closed,2021-12-10
ACC0190,CUST0190,Current,100500.87,Inactive,2022-06-02
ACC0191,CUST0191,Savings,136139.48,Closed,2021-01-20
ACC0192,CUST0192,Savings,148658.08,Active,2018-05-27
ACC0193,CUST0193,Current,192354.03,Active,2022-03-14
ACC0194,CUST0194,Current,42001.45,Active,2020-08-17
ACC0195,CUST0195,Current,141023.46,Inactive,2021-01-10
ACC0196,CUST0196,Savings,241719.38,Inactive,2018-03-23
ACC0197,CUST0197,Savings,26933.17,Active,2018-02-22
ACC0198,CUST0198,Current,55889.27,Closed,2018-02-12
ACC0199,CUST0199,Current,139719.36,Closed,2020-08-21
ACC0200,CUST0200,Savings,55647.42,Inactive,2021-04-13
ACC0201,CUST0201,Current,116034.27,Closed,2019-12-14
ACC0202,CUST0202,Savings,172764.11,Active,2018-08-03
ACC0203,CUST0203,Savings,249426.83,Active,2019-08-14
ACC0204,CUST0204,Savings,74210.34,Active,2018-06-30
ACC0205,CUST0205,Current,207913.78,Active,2022-05-02
ACC0206,CUST0206,Savings,87408.0,Inactive,2022-11-16
ACC0207,CUST0207,Current,196175.36,Inactive,2019-01-20
ACC0208,CUST0208,Savings,87400.92,Inactive,2021-07-04
ACC0209,CUST0209,Savings,180637.49,Active,2021-01-29
ACC0210,CUST0210,Savings,17260.0,Active,2018-09-06
ACC0211,CUST0211,Savings,6134.99,Active,2019-09-29
ACC0212,CUST0212,Savings,169446.26,Active,2018-07-10
ACC0213,CUST0213,Current,129240.48,Active,2021-08-19
ACC0214,CUST0214,Savings,83081.92,Inactive,2021-12-15
ACC0215,CUST0215,Savings,58347.96,Active,2019-05-15
ACC0216,CUST0216,Current,47003.54,Inactive,2019-01-26
ACC0217,CUST0217,Current,99197.8,Closed,2019-07-20
ACC0218,CUST0218,Savings,220832.79,Closed,2022-08-08
ACC0219,CUST0219,Savings,107673.43,Active,2021-04-02
ACC0220,CUST0220,Current,51843.23,Active,2020-09-18
ACC0221,CUST0221,Current,144548.3,Active,2020-02-12
ACC0222,CUST0222,Savings,91765.36,Inactive,2021-03-17
ACC0223,CUST0223,Current,28931.77,Inactive,2019-10-14
ACC0224,CUST0224,Current,132164.9,Active,2022-06-11
ACC0225,CUST0225,Current,149444.22,Inactive,2020-10-25
ACC0226,CUST0226,Savings,146957.68,Active,2018-07-24
ACC0227,CUST0227,Current,211456.69,Active,2020-04-19
ACC0228,CUST0228,Current,203527.69,Active,2019-11-25
ACC0229,CUST0229,Current,229711.3,Active,2022-10-12
ACC0230,CUST0230,Savings,168191.47,Active,2022-01-11
ACC0231,CUST0231,Savings,60023.9,Active,2018-05-21
ACC0232,CUST0232,Savings,93639.86,Closed,2020-06-07
ACC0233,CUST0233,Current,97421.59,Active,2021-11-22
ACC0234,CUST0234,Savings,143914.11,Active,2022-06-19
ACC0235,CUST0235,Current,121924.22,Active,2020-06-01
ACC0236,CUST0236,Savings,138950.69,Active,2021-03-05
ACC0237,CUST0237,Savings,35503.99,Inactive,2021-06-02
ACC0238,CUST0238,Savings,155042.79,Active,2021-04-09
ACC0239,CUST0239,Savings,121409.93,Inactive,2019-06-05
ACC0240,CUST0240,Current,240975.36,Inactive,2019-08-13
ACC0241,CUST0241,Savings,102579.02,Inactive,2019-12-09
ACC0242,CUST0242,Savings,177680.52,Inactive,2020-07-24
ACC0243,CUST0243,Current,42229.75,Active,2018-08-07
ACC0244,CUST0244,Savings,199072.28,Active,2021-03-23
ACC0245,CUST0245,Savings,8657.42,Closed,2020-03-21
ACC0246,CUST0246,Savings,72523.24,Closed,2022-05-13
ACC0247,CUST0247,Savings,185758.3,Closed,2022-05-08
ACC0248,CUST0248,Current,127946.09,Active,2021-07-27
ACC0249,CUST0249,Current,67338.28,Active,2022-03-28
ACC0250,CUST0250,Savings,135739.82,Inactive,2022-06-04
ACC0251,CUST0251,Savings,136815.14,Active,2022-02-08
ACC0252,CUST0252,Current,184129.18,Active,2022-03-11
ACC0253,CUST0253,Savings,74778.38,Inactive,2022-05-30
ACC0254,CUST0254,Savings,66072.4,Inactive,2019-07-13
ACC0255,CUST0255,Savings,216389.97,Active,2022-03-09
ACC0256,CUST0256,Current,52864.6,Closed,2018-10-16
ACC0257,CUST0257,Current,172438.83,Closed,2018-07-04
ACC0258,CUST0258,Savings,158376.27,Closed,2018-09-11
ACC0259,CUST0259,Savings,35239.12,Active,2020-02-20
ACC0260,CUST0260,Current,201457.4,Active,2018-02-21
ACC0261,CUST0261,Current,133304.06,Closed,2019-03-30
ACC0262,CUST0262,Current,42510.15,Active,2020-04-16
ACC0263,CUST0263,Savings,72688.64,Closed,2019-09-16
ACC0264,CUST0264,Current,246379.33,Active,2021-01-05
ACC0265,CUST0265,Savings,34329.43,Active,2021-10-05
ACC0266,CUST0266,Current,248125.31,Active,2020-04-29
ACC0267,CUST0267,Savings,175505.92,Active,2019-07-27
ACC0268,CUST0268,Savings,36987.74,Active,2020-06-29
ACC0269,CUST0269,Current,190487.66,Inactive,2020-01-23
ACC0270,CUST0270,Current,122619.95,Active,2019-07-20
ACC0271,CUST0271,Savings,157139.3,Inactive,2021-09-19
ACC0272,CUST0272,Savings,19341.31,Inactive,2022-05-31
ACC0273,CUST0273,Savings,129145.56,Active,2019-02-25
ACC0274,CUST0274,Savings,113946.56,Active,2019-03-19
ACC0275,CUST0275,Current,145697.91,Active,2018-01-06
ACC0276,CUST0276,Savings,182867.52,Active,2019-05-29
ACC0277,CUST0277,Current,212601.51,Inactive,2018-01-31
ACC0278,CUST0278,Savings,54848.57,Active,2018-02-02
ACC0279,CUST0279,Savings,123931.38,Active,2022-02-28
ACC0280,CUST0280,Current,84769.91,Active,2020-09-02
ACC0281,CUST0281,Savings,141752.46,Active,2018-08-12
ACC0282,CUST0282,Savings,223591.59,Active,2018-03-30
ACC0283,CUST0283,Savings,25343.9,Active,2018-03-05
ACC0284,CUST0284,Savings,31497.18,Inactive,2021-11-06
ACC0285,CUST0285,Savings,114401.27,Active,2018-06-15
ACC0286,CUST0286,Savings,248925.67,Active,2018-09-16
ACC0287,CUST0287,Savings,40164.88,Active,2021-12-29
ACC0288,CUST0288,Savings,163819.7,Active,2019-08-27
ACC0289,CUST0289,Current,93275.02,Active,2018-07-23
ACC0290,CUST0290,Current,13420.93,Active,2020-07-13
ACC0291,CUST0291,Savings,181634.1,Inactive,2020-03-27
ACC0292,CUST0292,Current,164043.56,Active,2019-10-03
ACC0293,CUST0293,Savings,771.03,Active,2020-08-29
ACC0294,CUST0294,Savings,33608.6,Closed,2020-06-03
ACC0295,CUST0295,Savings,170155.69,Active,2018-05-03
ACC0296,CUST0296,Savings,174051.48,Inactive,2021-10-04
ACC0297,CUST0297,Savings,173660.73,Active,2022-03-17
ACC0298,CUST0298,Savings,57622.24,Active,2019-10-02
ACC0299,CUST0299,Savings,26248.78,Active,2019-03-12
ACC0300,CUST0300,Savings,34713.76,Active,2019-12-19
ACC0301,CUST0301,Current,17568.7,Active,2021-03-21
ACC0302,CUST0302,Savings,152774.65,Inactive,2021-06-10
ACC0303,CUST0303,Savings,88121.34,Active,2022-08-26
ACC0304,CUST0304,Current,230013.58,Inactive,2021-12-10
ACC0305,CUST0305,Savings,215060.65,Active,2019-01-07
ACC0306,CUST0306,Savings,35433.28,Closed,2018-10-18
ACC0307,CUST0307,Savings,182637.28,Inactive,2020-02-10
ACC0308,CUST0308,Savings,78968.67,Active,2020-01-28
ACC0309,CUST0309,Savings,69603.43,Active,2018-06-23
ACC0310,CUST0310,Current,138572.46,Closed,2018-04-12
ACC0311,CUST0311,Current,71587.74,Active,2020-05-18
ACC0312,CUST0312,Current,212049.08,Active,2019-07-14
ACC0313,CUST0313,Current,51758.71,Closed,2020-05-30
ACC0314,CUST0314,Savings,47567.31,Active,2020-12-15
ACC0315,CUST0315,Savings,161719.36,Inactive,2021-05-12
ACC0316,CUST0316,Savings,96778.45,Inactive,2019-03-09
ACC0317,CUST0317,Savings,159701.54,Closed,2018-09-03
ACC0318,CUST0318,Savings,222236.77,Active,2018-09-22
ACC0319,CUST0319,Savings,233514.14,Inactive,2021-02-18
ACC0320,CUST0320,Current,215273.09,Inactive,2020-06-12
ACC0321,CUST0321,Current,91670.41,Active,2021-03-25
ACC0322,CUST0322,Savings,190800.12,Active,2020-05-05
ACC0323,CUST0323,Savings,147047.19,Active,2019-10-28
ACC0324,CUST0324,Savings,54327.86,Inactive,2018-06-30
ACC0325,CUST0325,Current,126899.35,Closed,2021-04-21
ACC0326,CUST0326,Savings,191893.95,Inactive,2022-11-18
ACC0327,CUST0327,Current,21065.74,Closed,2022-05-15
ACC0328,CUST0328,Savings,154203.74,Active,2018-08-22
ACC0329,CUST0329,Current,77821.77,Active,2019-12-21
ACC0330,CUST0330,Savings,243591.19,Closed,2019-06-09
ACC0331,CUST0331,Current,82024.2,Active,2022-04-06
ACC0332,CUST0332,Savings,77887.29,Active,2022-03-26
ACC0333,CUST0333,Savings,14947.53,Inactive,2021-03-02
ACC0334,CUST0334,Current,29438.65,Closed,2020-06-19
ACC0335,CUST0335,Current,14229.64,Active,2019-09-13
ACC0336,CUST0336,Current,30301.03,Active,2020-11-05
ACC0337,CUST0337,Savings,175524.15,Inactive,2018-03-19
ACC0338,CUST0338,Current,238277.54,Closed,2021-08-13
ACC0339,CUST0339,Current,195855.28,Active,2020-02-27
ACC0340,CUST0340,Savings,42157.26,Active,2020-07-10
ACC0341,CUST0341,Savings,183367.49,Active,2020-09-01
ACC0342,CUST0342,Savings,84085.25,Active,2018-07-31
ACC0343,CUST0343,Savings,131201.63,Closed,2018-12-20
ACC0344,CUST0344,Savings,157069.44,Inactive,2020-12-09
ACC0345,CUST0345,Savings,127940.08,Inactive,2020-02-03
ACC0346,CUST0346,Savings,214910.27,Active,2021-10-22
ACC0347,CUST0347,Savings,39748.84,Closed,2019-11-07
ACC0348,CUST0348,Savings,168693.05,Active,2019-06-01
ACC0349,CUST0349,Savings,185324.6,Active,2021-04-08
ACC0350,CUST0350,Savings,214742.91,Active,2021-12-01
ACC0351,CUST0351,Savings,11972.39,Inactive,2019-09-27
ACC0352,CUST0352,Savings,230096.52,Active,2021-10-04
ACC0353,CUST0353,Current,138439.76,Inactive,2020-01-12
ACC0354,CUST0354,Savings,56516.57,Inactive,2019-03-15
ACC0355,CUST0355,Savings,229005.76,Active,2018-10-09
ACC0356,CUST0356,Current,206586.25,Active,2020-11-05
ACC0357,CUST0357,Current,30290.53,Active,2019-11-21
ACC0358,CUST0358,Current,45246.42,Active,2018-11-12
ACC0359,CUST0359,Savings,238542.81,Inactive,2022-01-16
ACC0360,CUST0360,Savings,216575.04,Active,2021-10-17
ACC0361,CUST0361,Savings,22053.19,Active,2022-03-21
ACC0362,CUST0362,Savings,92545.38,Closed,2019-09-26
ACC0363,CUST0363,Current,196234.55,Closed,2021-03-14
ACC0364,CUST0364,Savings,61024.71,Closed,2020-10-26
ACC0365,CUST0365,Savings,242978.51,Closed,2022-06-29
ACC0366,CUST0366,Savings,190240.31,Active,2021-08-06
ACC0367,CUST0367,Savings,2091.28,Active,2021-12-27
ACC0368,CUST0368,Savings,58632.94,Active,2022-04-12
ACC0369,CUST0369,Savings,237772.07,Inactive,2018-10-29
ACC0370,CUST0370,Current,212326.99,Active,2019-12-17
ACC0371,CUST0371,Current,26435.28,Active,2020-10-25
ACC0372,CUST0372,Savings,105244.05,Active,2020-02-07
ACC0373,CUST0373,Savings,178057.29,Active,2022-09-15
ACC0374,CUST0374,Current,230357.96,Inactive,2019-08-11
ACC0375,CUST0375,Savings,175361.3,Inactive,2021-06-14
ACC0376,CUST0376,Savings,243651.42,Closed,2019-03-18
ACC0377,CUST0377,Savings,24346.46,Inactive,2020-05-16
ACC0378,CUST0378,Current,19170.21,Active,2018-09-07
ACC0379,CUST0379,Savings,109028.23,Active,2022-06-14
ACC0380,CUST0380,Savings,73273.17,Inactive,2022-09-10
ACC0381,CUST0381,Current,175331.04,Active,2021-07-18
ACC0382,CUST0382,Savings,79855.4,Active,2019-08-20
ACC0383,CUST0383,Savings,19134.52,Active,2019-05-08
ACC0384,CUST0384,Current,195094.28,Active,2021-09-30
ACC0385,CUST0385,Savings,39274.93,Inactive,2020-12-13
ACC0386,CUST0386,Savings,116780.75,Active,2018-02-11
ACC0387,CUST0387,Savings,134213.17,Inactive,2020-03-03
ACC0388,CUST0388,Savings,77422.78,Active,2022-06-03
ACC0389,CUST0389,Current,23060.01,Active,2021-07-10
ACC0390,CUST0390,Current,206683.48,Closed,2018-04-01
ACC0391,CUST0391,Savings,10562.29,Active,2018-12-25
ACC0392,CUST0392,Savings,23257.62,Active,2018-05-10
ACC0393,CUST0393,Savings,99362.99,Active,2018-03-31
ACC0394,CUST0394,Savings,65411.61,Active,2020-11-21
ACC0395,CUST0395,Savings,238048.1,Closed,2018-03-16
ACC0396,CUST0396,Savings,187145.57,Active,2022-11-09
ACC0397,CUST0397,Savings,115779.79,Active,2020-06-13
ACC0398,CUST0398,Savings,3483.25,Active,2019-01-18
ACC0399,CUST0399,Savings,49934.19,Active,2019-07-01
ACC0400,CUST0400,Current,171728.17,Active,2021-05-18
ACC0401,CUST0401,Savings,145789.79,Active,2018-07-30
ACC0402,CUST0402,Savings,5939.15,Active,2020-07-02
ACC0403,CUST0403,Savings,225672.77,Active,2019-12-21
ACC0404,CUST0404,Savings,23448.67,Active,2020-06-09
ACC0405,CUST0405,Savings,11152.73,Active,2021-07-29
ACC0406,CUST0406,Current,42413.31,Inactive,2018-11-24
ACC0407,CUST0407,Savings,205510.51,Inactive,2022-05-20
ACC0408,CUST0408,Current,7855.83,Inactive,2019-04-29
ACC0409,CUST0409,Savings,43615.4,Active,2018-03-08
ACC0410,CUST0410,Savings,69107.95,Active,2020-02-01
ACC0411,CUST0411,Current,9145.04,Closed,2020-12-20
ACC0412,CUST0412,Savings,61823.3,Inactive,2019-07-25
ACC0413,CUST0413,Current,103292.06,Inactive,2020-10-19
ACC0414,CUST0414,Savings,15714.28,Inactive,2019-06-21
ACC0415,CUST0415,Savings,34740.39,Closed,2019-08-08
ACC0416,CUST0416,Current,62662.36,Active,2022-10-13
ACC0417,CUST0417,Current,247356.2,Active,2018-06-29
ACC0418,CUST0418,Savings,120181.27,Active,2021-01-15
ACC0419,CUST0419,Current,228212.92,Active,2018-12-23
ACC0420,CUST0420,Savings,97401.13,Active,2019-02-16
ACC0421,CUST0421,Savings,80059.95,Active,2020-01-10
ACC0422,CUST0422,Savings,223993.31,Active,2022-07-04
ACC0423,CUST0423,Savings,202259.14,Closed,2018-05-15
ACC0424,CUST0424,Current,89679.51,Active,2020-04-21
ACC0425,CUST0425,Savings,243507.98,Active,2019-10-12
ACC0426,CUST0426,Savings,164387.67,Closed,2020-11-25
ACC0427,CUST0427,Current,204163.15,Active,2021-04-18
ACC0428,CUST0428,Savings,191130.41,Closed,2022-11-14
ACC0429,CUST0429,Savings,211703.02,Active,2019-09-15
ACC0430,CUST0430,Savings,233833.91,Active,2019-12-10
ACC0431,CUST0431,Savings,59519.51,Active,2019-02-07
ACC0432,CUST0432,Savings,228538.01,Active,2019-09-13
ACC0433,CUST0433,Current,236915.9,Active,2021-08-05
ACC0434,CUST0434,Savings,140995.67,Inactive,2018-12-17
ACC0435,CUST0435,Savings,135760.09,Inactive,2018-03-26
ACC0436,CUST0436,Savings,9971.95,Active,2022-04-29
ACC0437,CUST0437,Savings,150614.87,Closed,2020-05-03
ACC0438,CUST0438,Savings,119758.25,Closed,2021-01-22
ACC0439,CUST0439,Savings,50765.36,Active,2022-07-07
ACC0440,CUST0440,Savings,179375.94,Active,2021-11-11
ACC0441,CUST0441,Current,5967.27,Active,2020-09-18
ACC0442,CUST0442,Current,193704.44,Active,2018-10-22
ACC0443,CUST0443,Savings,240159.41,Inactive,2018-09-25
ACC0444,CUST0444,Savings,146711.16,Active,2019-10-16
